person_id,day,sleep_hours,screen_time,work_hours,steps,mood
3,29,7.51,8.75,7.9,3779,1.79
3,30,6.03,4.19,9.37,11136,1.99
4,1,8.05,4.74,5.85,12328,3.36
4,2,7.51,4.97,8.74,14528,2.87
4,3,6.83,7.48,2.81,9175,1.89
4,4,7.33,4.03,9.28,2460,3.53
4,5,9.39,6.2,4.71,8245,4.28
4,6,6.02,3.44,4.26,5544,2.74
4,7,8.59,8.08,4.34,1249,2.56
4,8,9.33,5.23,8.36,2077,3.9
4,9,7.62,7.68,0.78,2252,2.12
4,10,9.23,6.76,5.13,14051,3.2
4,11,7.08,5.48,7.65,11674,3.91
4,12,6.6,6.44,9.0,6115,2.44
4,13,7.33,1.23,7.94,1137,4.59
4,14,6.98,6.59,5.44,11785,1.68
4,15,4.72,7.41,6.75,13234,1.0
4,16,7.55,3.12,4.97,12458,3.25
4,17,7.07,7.15,6.15,12314,2.56
4,18,5.78,3.88,3.13,3593,2.75
4,19,6.44,3.36,4.75,7190,3.13
4,20,5.95,5.43,5.78,14568,2.34
4,21,7.27,3.45,6.05,1055,3.73
4,22,10.0,4.38,4.75,1364,3.29
4,23,7.6,3.43,6.94,2531,4.04
4,24,6.81,3.09,2.79,9152,3.6
4,25,5.84,6.15,8.38,7229,2.3
4,26,5.84,4.3,6.44,10795,3.2
4,27,9.01,2.38,11.15,10685,4.28
4,28,9.28,6.08,3.93,3472,3.5
4,29,8.07,4.42,3.17,11554,3.9
4,30,7.04,5.25,5.28,2733,2.82
5,1,6.69,1.0,7.59,6966,4.15
5,2,6.13,6.51,7.0,6560,1.71
5,3,7.43,8.57,8.48,14956,2.06
5,4,6.15,3.0,6.56,5208,1.89
5,5,9.77,5.53,5.57,2917,4.02
5,6,6.9,2.58,4.7,13977,3.71
5,7,10.0,1.11,3.2,6287,5.0
5,8,6.1,6.52,8.21,2994,2.57
5,9,10.0,3.79,5.57,2604,4.64
5,10,7.56,3.79,6.17,12157,3.51
5,11,7.8,6.39,7.03,3898,3.14
5,12,7.43,9.15,7.74,3136,1.77
5,13,6.25,8.81,7.11,8804,1.7
5,14,8.58,3.31,2.84,2248,4.15
5,15,8.03,1.0,1.42,11818,5.0
5,16,4.78,7.29,6.68,6788,1.22
5,17,9.56,4.94,7.66,1950,4.55
5,18,6.47,4.15,5.9,2865,3.96
5,19,8.56,3.98,5.46,4228,3.44
5,20,5.47,10.95,8.83,1094,1.0
5,21,9.0,9.0,7.44,6779,3.38
5,22,4.33,7.99,7.31,3443,1.01
5,23,6.6,4.12,7.29,8147,3.88
5,24,9.67,6.18,6.43,4177,3.94
5,25,6.1,7.6,4.75,10397,1.61
5,26,6.29,6.9,3.89,3708,1.78
5,27,9.1,3.62,7.23,14224,3.94
5,28,6.68,3.1,2.89,7490,2.05
5,29,4.75,4.48,3.75,13951,2.18
5,30,5.21,5.55,4.56,3713,2.57
6,1,6.6,2.79,11.15,12404,3.53
6,2,4.96,1.18,4.87,3717,3.89
6,3,10.0,2.79,8.78,6083,3.53
6,4,6.15,1.0,5.29,4335,3.98
6,5,4.89,3.44,3.78,1054,3.5
6,6,7.73,3.45,5.82,11998,3.77
6,7,5.84,3.75,11.14,4310,2.99
6,8,8.44,5.35,9.43,8970,3.69
6,9,8.22,3.12,6.47,5547,4.18
6,10,4.46,3.2,6.46,3198,2.17
6,11,7.5,6.74,7.05,7852,2.81
6,12,5.14,3.37,8.63,5491,1.87
6,13,6.29,7.03,4.75,14364,2.73
6,14,7.32,4.81,4.91,11953,3.38
6,15,7.43,5.08,3.33,13145,3.09
6,16,10.0,6.34,4.75,3541,3.59
6,17,7.03,5.7,4.92,1074,2.41
6,18,7.18,7.62,5.98,11273,2.96
6,19,10.0,6.44,5.06,9041,4.03
6,20,6.36,3.71,7.82,9801,2.67
6,21,9.5,7.03,2.32,3681,2.75
6,22,4.22,3.02,6.29,5124,2.37
6,23,4.71,3.4,8.68,12046,2.12
6,24,7.81,5.27,7.04,13693,3.19
6,25,5.71,6.4,4.85,8101,2.13
6,26,6.28,9.6,3.46,6760,1.0
6,27,9.96,4.91,2.88,13418,4.01
6,28,6.54,3.68,7.33,14808,3.72
6,29,7.27,2.33,6.76,3708,4.21
6,30,8.21,6.86,6.08,7609,2.93
7,1,4.71,4.88,7.64,13045,2.19
7,2,7.54,3.83,5.61,10018,3.49
7,3,6.94,6.36,6.06,5497,2.58
7,4,10.0,5.68,3.45,3667,4.7
7,5,5.44,7.56,5.48,8694,1.68
7,6,7.26,7.78,8.46,13303,2.69
7,7,8.52,4.61,3.81,1545,2.54
7,8,8.07,5.09,8.45,13764,3.06
7,9,6.96,3.89,2.79,11616,3.6
7,10,6.33,7.91,9.16,4760,1.6
7,11,6.55,3.39,3.99,5388,2.78
7,12,6.95,5.47,9.1,11426,2.34
7,13,6.75,3.35,10.62,8878,3.06
7,14,7.25,5.98,6.58,12593,4.03
7,15,6.81,4.0,6.94,9245,3.48
7,16,6.44,2.65,7.59,9194,4.0
7,17,6.17,6.27,6.41,11568,1.53
7,18,3.63,3.24,5.64,2218,1.3
7,19,7.82,7.17,4.3,10175,2.73
7,20,6.65,5.2,7.1,10903,2.82
7,21,6.22,5.45,5.97,1317,3.15
7,22,8.81,5.69,8.65,4930,2.95
7,23,7.61,6.28,8.2,3139,2.89
7,24,8.23,6.01,8.13,5286,3.77
7,25,5.61,6.19,8.08,13713,2.04
7,26,6.44,3.33,4.62,3403,3.53
7,27,9.35,5.69,4.44,14836,3.43
7,28,7.29,5.09,3.28,13987,3.46
7,29,6.41,3.66,5.91,14281,3.0
7,30,8.81,2.12,6.35,2265,4.79
8,1,8.13,6.95,4.61,12383,2.84
8,2,6.16,5.75,9.13,13857,2.41
8,3,8.02,4.9,8.6,2098,3.49
8,4,8.68,7.62,5.56,5116,2.31
8,5,4.23,3.87,8.33,12425,1.77
8,6,5.12,7.89,5.84,2607,1.94
8,7,6.37,4.04,9.25,7342,1.8
8,8,5.58,5.65,8.5,4224,2.49
8,9,4.86,6.21,3.03,8099,1.94
8,10,7.19,3.64,7.68,9586,3.16
8,11,9.94,4.23,6.66,9357,4.37
8,12,8.54,2.81,6.74,14703,4.51
8,13,8.41,6.69,5.35,14621,3.08
8,14,9.26,6.75,5.56,9032,3.39
8,15,5.69,5.08,5.46,8833,2.41
8,16,5.5,4.44,9.6,13430,2.89
8,17,6.26,4.11,6.55,7082,2.57
8,18,7.32,6.76,8.95,1552,3.36
8,19,8.05,5.79,7.79,14629,3.5
8,20,6.5,9.83,7.3,12653,2.34
8,21,6.7,7.63,6.8,14161,3.18
8,22,9.53,4.08,9.46,2560,4.83
8,23,6.52,5.85,7.05,5790,2.27
8,24,7.76,1.01,4.31,9946,4.5
8,25,6.25,5.42,8.18,1158,2.52
8,26,8.7,4.45,8.77,4453,4.22
8,27,7.34,7.09,9.37,6631,2.28
8,28,9.26,8.28,7.2,14042,3.49
8,29,8.2,5.36,7.07,12815,2.75
8,30,6.27,6.25,5.05,13765,3.03
9,1,6.17,3.66,5.95,3365,3.66
9,2,6.7,3.3,9.08,4155,4.29
9,3,5.27,5.64,6.75,3113,2.07
9,4,9.58,8.08,3.19,7430,2.83
9,5,7.12,2.43,7.99,10472,3.57
9,6,10.0,2.48,3.41,4178,4.2
9,7,8.27,7.45,8.43,10771,2.73
9,8,8.64,4.68,9.17,2939,4.91
9,9,6.89,4.93,7.46,12036,3.01
9,10,5.14,6.26,6.38,10227,1.43
9,11,7.21,5.91,5.73,7638,3.36
9,12,3.82,5.59,3.87,6757,1.6
9,13,8.66,2.92,7.23,11225,3.76
9,14,7.9,3.38,5.08,10710,3.55
9,15,7.82,3.17,5.94,8705,4.88
9,16,7.3,7.1,8.21,14598,3.08
9,17,5.37,8.26,4.46,4291,1.52
9,18,7.51,2.78,7.6,6208,3.67
9,19,7.48,5.84,9.23,10539,3.17
9,20,8.83,6.39,5.78,4553,3.7
9,21,8.08,6.27,8.58,2367,2.92
9,22,8.47,2.33,8.22,13281,3.66
9,23,9.39,3.31,4.02,13592,3.39
9,24,3.77,8.54,6.08,12207,1.0
9,25,8.63,8.07,1.5,13057,2.39
9,26,4.55,5.34,1.17,11582,1.65
9,27,7.89,6.71,7.52,7936,2.99
9,28,5.22,8.06,5.81,5882,1.0
9,29,6.95,3.1,4.26,4610,3.06
9,30,7.09,6.54,4.34,10873,2.65
10,1,7.47,4.87,6.18,2286,3.89
10,2,5.55,6.1,9.69,3359,2.2
10,3,6.15,6.06,5.71,13149,2.74
10,4,7.34,7.73,6.25,12130,2.1
10,5,10.0,5.83,7.16,14271,4.53
10,6,8.72,4.4,5.45,4225,4.25
10,7,5.71,2.88,7.39,4273,3.35
10,8,7.88,6.36,5.51,13868,2.38
10,9,7.79,3.53,5.29,9853,3.98
10,10,7.07,4.71,7.93,9841,4.22
10,11,8.1,2.3,7.33,12921,3.48
10,12,4.85,1.17,7.95,14286,3.84
10,13,8.56,3.96,2.7,10382,4.46
10,14,5.88,6.74,8.26,1072,2.89
10,15,5.35,3.58,4.83,7704,2.67
10,16,7.74,6.93,6.39,12015,2.42
10,17,7.5,6.67,2.01,8426,2.89
10,18,4.75,2.34,5.98,5211,2.95
10,19,7.14,3.64,4.02,1207,3.78
10,20,4.67,1.36,1.33,8446,2.91
10,21,5.36,4.37,8.43,1148,2.61
10,22,6.65,4.21,6.85,2012,3.26
10,23,7.76,6.16,3.86,10793,2.51
10,24,4.7,2.62,6.12,14122,1.99
10,25,5.34,1.0,6.78,2442,4.78
10,26,7.55,7.8,2.01,5107,2.99
10,27,6.34,7.33,7.14,14235,2.34
10,28,6.18,6.96,7.42,11177,2.14
10,29,6.96,6.64,8.78,12138,2.77
10,30,5.8,5.7,7.9,14891,1.0
11,1,7.36,3.06,7.45,3719,3.5
11,2,7.81,2.44,4.07,8154,4.3
11,3,5.0,5.56,5.84,1689,1.29
11,4,7.22,4.33,4.77,9591,3.14
11,5,7.02,3.54,2.93,10011,3.9
11,6,8.43,5.85,7.75,8870,3.65
11,7,4.95,4.55,3.66,2549,1.41
11,8,6.39,2.68,5.53,5837,2.93
11,9,8.29,3.41,6.22,12276,3.44
11,10,6.98,6.16,6.24,5798,2.16
11,11,4.39,4.99,5.22,1593,2.23
11,12,3.55,4.11,4.25,7164,1.0
11,13,7.44,3.54,5.6,9433,3.42
11,14,10.0,3.79,7.48,3247,4.71
11,15,7.55,4.49,8.02,14727,3.31
11,16,6.95,5.52,7.59,12698,3.44
11,17,4.98,3.06,8.4,6510,2.45
11,18,6.08,7.39,8.49,11229,1.0
11,19,5.83,6.76,7.21,4009,2.66
11,20,5.71,3.24,7.92,3196,2.99
11,21,6.89,2.87,5.93,7303,3.09
11,22,8.12,6.19,4.29,14070,3.27
11,23,7.34,3.18,5.52,5941,3.29
11,24,10.0,2.79,5.56,1685,4.72
11,25,5.18,7.27,5.3,12182,1.87
11,26,8.26,3.37,8.43,8527,3.92
11,27,5.06,5.47,5.71,9853,1.9
11,28,7.6,3.7,4.94,5082,3.92
11,29,6.36,3.12,8.96,2376,3.06
11,30,4.15,5.16,9.62,6926,2.13
12,1,8.5,5.41,3.61,8353,3.36
12,2,6.69,3.3,4.84,4081,3.68
12,3,8.14,6.17,9.09,3159,3.58
12,4,7.42,7.91,3.1,2778,1.74
12,5,6.84,7.44,3.86,10596,2.21
12,6,8.82,6.24,5.08,8909,3.18
12,7,9.52,3.5,8.33,11512,4.17
12,8,6.17,10.12,4.87,5431,1.23
12,9,8.1,3.01,5.96,1593,3.7
12,10,6.54,5.13,8.18,7354,2.07
12,11,6.74,4.09,7.39,12166,3.65
12,12,7.12,7.61,4.19,7256,2.11
12,13,5.74,4.73,6.96,12002,1.89
12,14,8.16,6.76,4.24,13485,2.66
12,15,8.83,6.16,5.55,3125,2.9
12,16,8.28,6.75,6.71,6068,3.01
12,17,8.08,8.35,9.36,9186,2.79
12,18,7.48,4.7,5.07,13868,2.49
12,19,6.45,5.8,5.62,7404,3.23
12,20,8.36,7.86,6.2,11851,2.76
12,21,6.1,5.94,4.0,8710,2.51
12,22,6.92,6.63,4.09,9461,2.0
12,23,5.74,3.15,5.39,1204,3.83
12,24,5.92,4.03,8.11,1689,3.88
12,25,4.36,2.95,6.49,12918,2.6
12,26,6.61,6.85,6.97,7285,2.57
12,27,8.19,2.49,6.59,2938,3.55
12,28,7.46,4.74,4.35,1597,3.18
12,29,8.53,10.33,5.41,12861,2.09
12,30,10.0,6.88,7.1,14140,3.42
13,1,7.61,3.23,5.6,12407,3.7
13,2,9.65,2.93,4.58,9103,4.72
13,3,6.55,3.37,1.73,3324,3.29
13,4,6.28,3.09,6.25,7519,4.09
13,5,7.54,3.33,5.01,8548,3.37
13,6,7.48,4.94,5.88,11183,2.84
13,7,5.86,1.97,4.96,11006,4.06
13,8,6.36,7.3,6.23,9087,1.34
13,9,8.91,3.59,4.11,6000,3.62
13,10,8.15,4.62,3.56,13755,3.63
13,11,5.16,5.43,2.87,1282,2.78
13,12,6.5,4.19,4.09,3307,3.25
13,13,5.71,7.28,5.98,6108,1.95
13,14,8.72,7.86,3.62,9004,2.7
13,15,8.78,10.18,7.16,12261,2.32
13,16,5.79,6.19,6.54,14745,2.31
13,17,7.43,4.14,3.34,14537,3.97
13,18,7.2,5.23,2.75,7299,3.09
13,19,6.15,4.18,4.67,6433,1.89
13,20,5.29,9.03,9.16,7763,1.36
13,21,7.61,4.95,4.19,7049,3.42
13,22,8.79,2.76,5.2,6063,4.65
13,23,8.3,4.24,4.81,5628,3.14
13,24,7.77,5.36,6.7,13130,3.45
13,25,8.29,5.69,2.88,1141,2.59
13,26,7.21,7.2,6.51,13109,2.39
13,27,6.43,4.97,5.19,2750,2.75
13,28,7.58,3.61,7.69,11412,3.9
13,29,8.33,3.95,7.32,5493,3.66
13,30,6.43,4.44,5.76,1264,2.83
14,1,6.97,4.39,7.6,2762,2.36
14,2,8.12,3.23,4.69,1987,4.05
14,3,7.64,6.8,7.8,4198,2.82
14,4,7.84,9.51,4.99,11507,2.38
14,5,7.11,7.32,4.15,3044,2.46
14,6,6.23,5.06,4.96,7581,2.8
14,7,9.21,4.3,7.77,7748,4.21
14,8,9.15,4.46,8.8,11587,4.58
14,9,6.63,3.31,10.34,1193,3.27
14,10,6.69,1.5,7.81,12985,3.82
14,11,6.34,1.0,5.56,14735,2.9
14,12,3.22,2.1,10.97,5796,2.01
14,13,6.54,3.5,6.64,13605,3.94
14,14,6.24,4.77,7.66,5912,2.47
14,15,5.67,5.54,6.21,4112,1.23
14,16,6.9,3.82,8.96,13871,2.96
14,17,7.4,6.02,2.84,12564,3.3
14,18,8.03,5.84,5.25,6443,3.45
14,19,5.75,1.0,4.22,11651,3.55
14,20,8.38,5.23,2.65,13198,3.04
14,21,9.67,2.87,7.62,11188,4.86
14,22,7.31,6.52,6.76,11906,2.99
14,23,7.31,8.37,7.12,13555,2.57
14,24,6.81,1.24,4.9,10428,4.1
14,25,6.14,6.24,8.67,8461,2.22
14,26,7.71,6.69,9.68,9566,2.4
14,27,8.68,5.26,3.18,2823,3.82
14,28,7.43,5.52,5.73,1359,3.42
14,29,6.59,4.85,7.15,4361,1.69
14,30,6.62,2.57,4.07,4273,3.36
15,1,8.97,7.79,4.88,13413,2.84
15,2,5.7,5.42,6.21,12951,2.95
15,3,9.84,4.08,5.91,10591,3.84
15,4,7.04,5.84,2.47,3309,2.04
15,5,6.61,8.2,7.12,3172,1.74
15,6,4.89,2.09,0.75,1785,2.42
15,7,4.69,2.03,7.06,4236,1.95
15,8,10.0,1.39,4.97,11582,4.95
15,9,4.3,3.91,4.42,1340,1.93
15,10,5.11,3.27,6.12,10714,3.01
15,11,7.44,2.63,4.96,7652,4.17
15,12,8.65,8.92,3.54,3567,2.73
15,13,6.95,3.86,2.95,7207,3.44
15,14,9.5,8.12,4.81,11485,2.01
15,15,7.46,4.22,6.54,14331,3.25
15,16,6.21,4.93,4.18,7963,2.72
15,17,7.38,7.09,3.1,12680,2.1
15,18,4.28,8.87,7.48,7642,1.0
15,19,8.58,5.45,5.89,2970,3.64
15,20,9.28,8.39,5.79,11750,3.59
15,21,8.75,4.59,5.73,14324,4.32
15,22,8.33,6.58,6.16,11559,3.6
15,23,5.54,2.24,4.75,1695,3.68
15,24,9.17,5.28,8.42,12150,3.06
15,25,7.63,3.81,7.39,12390,4.2
15,26,7.52,6.34,5.55,5897,2.37
15,27,6.76,3.51,4.65,4426,3.28
15,28,10.0,6.57,9.45,3092,4.07
15,29,7.05,6.22,5.07,11614,2.54
15,30,6.29,6.26,3.67,2497,2.3
16,1,4.59,3.47,4.46,3951,2.02
16,2,5.82,4.06,8.3,6789,2.95
16,3,7.09,5.55,8.72,11576,2.22
16,4,8.02,5.81,8.6,2589,3.07
16,5,7.31,4.02,7.61,10203,2.93
16,6,5.37,2.97,3.99,8226,3.04
16,7,5.89,6.78,2.33,5945,2.01
16,8,7.83,6.62,4.69,14752,2.08
16,9,7.0,4.98,5.34,10009,3.08
16,10,3.89,4.14,6.37,6793,1.49
16,11,8.54,3.67,5.68,3224,4.49
16,12,7.9,4.66,4.5,9662,3.63
16,13,3.34,4.73,8.85,14193,2.08
16,14,6.38,3.78,5.66,4607,3.22
16,15,5.42,7.12,6.41,14963,1.59
16,16,3.36,4.94,5.85,2519,2.12
16,17,6.17,2.56,4.98,5072,3.33
16,18,7.33,2.35,9.24,13936,3.62
16,19,6.44,9.21,5.45,11860,1.7
16,20,8.01,4.67,6.74,7469,3.21
16,21,5.22,8.29,4.2,9547,1.62
16,22,8.5,6.03,6.46,8982,4.03
16,23,4.71,2.73,5.56,3158,1.45
16,24,7.99,4.45,7.83,9931,3.09
16,25,6.84,4.02,5.46,12023,4.01
16,26,7.18,8.1,5.52,12654,2.24
16,27,7.15,8.1,3.52,14839,1.4
16,28,9.82,6.57,8.06,5402,3.72
16,29,8.01,6.35,1.45,9835,2.53
16,30,7.45,6.13,6.3,4276,3.16
17,1,6.74,8.32,6.04,13063,2.01
17,2,6.69,3.7,4.68,11601,2.97
17,3,5.29,3.12,6.04,14379,3.07
17,4,9.37,2.97,4.38,7707,3.93
17,5,8.86,3.2,4.59,5781,4.32
17,6,5.37,4.69,6.08,3783,2.73
17,7,10.0,5.01,5.62,3645,4.02
17,8,7.42,8.14,5.66,6085,1.57
17,9,6.91,7.25,6.6,8888,2.64
17,10,6.36,6.18,2.8,14912,2.62
17,11,5.77,7.63,4.33,3895,2.51
17,12,6.87,2.51,4.08,7976,4.11
17,13,9.23,4.56,6.61,3468,4.55
17,14,5.12,6.21,7.76,11695,1.66
17,15,6.09,6.52,4.89,4947,1.45
17,16,5.81,5.68,4.48,9858,1.54
17,17,6.99,6.23,0.2,13098,3.63
17,18,9.13,3.8,2.27,5369,4.72
17,19,4.24,8.22,4.39,10408,1.3
17,20,7.32,4.62,2.92,14234,4.23
17,21,4.26,3.48,5.64,8470,2.45
17,22,9.13,3.93,3.16,13167,4.28
17,23,6.17,2.95,5.27,12768,3.51
17,24,4.89,3.14,5.78,10582,3.23
17,25,7.66,5.81,8.47,4607,2.48
17,26,8.59,4.04,0.15,4252,4.55
17,27,6.14,1.67,7.38,2380,2.38
17,28,5.7,6.29,7.99,9533,2.01
17,29,8.02,2.7,7.33,12606,4.33
17,30,8.28,5.47,4.86,1205,3.74
18,1,6.46,3.35,7.41,9501,2.9
18,2,9.61,6.96,6.17,4273,3.05
18,3,4.38,5.27,5.35,3832,3.02
18,4,4.62,6.59,7.94,3800,1.97
18,5,9.99,11.22,7.21,14399,2.24
18,6,6.47,4.24,5.16,4489,3.49
18,7,6.2,6.08,3.4,10523,1.74
18,8,8.11,7.28,9.27,13112,1.69
18,9,5.36,4.23,7.39,7033,3.0
18,10,7.38,4.35,8.15,14046,3.53
18,11,8.16,3.0,6.39,9112,4.73
18,12,3.5,7.7,5.64,1999,1.0
18,13,7.74,3.95,1.69,5986,4.16
18,14,7.28,5.46,8.11,10729,3.72
18,15,7.56,6.62,4.7,9566,3.13
18,16,8.82,5.52,5.26,1112,3.64
18,17,6.92,4.52,5.27,3949,2.47
18,18,8.83,3.26,4.63,4104,4.18
18,19,6.2,1.59,3.77,10665,4.32
18,20,6.25,2.5,4.88,7358,3.62
18,21,9.28,4.01,5.41,7481,3.95
18,22,6.96,4.47,6.78,13968,3.16
18,23,8.34,7.07,2.31,12467,2.45
18,24,7.26,3.6,9.41,6633,3.58
18,25,8.42,2.43,6.18,12558,4.54
18,26,6.83,3.55,5.2,4554,4.3
18,27,5.05,6.66,7.62,13768,1.15
18,28,8.28,8.53,2.7,3305,2.54
18,29,6.68,5.55,9.33,5120,3.07
18,30,7.21,4.0,7.24,8304,3.3
19,1,7.86,4.88,8.25,13905,3.21
19,2,5.75,6.4,5.95,2818,3.14
19,3,5.7,4.72,6.63,13654,2.66
19,4,6.34,1.79,9.5,3424,4.39
19,5,8.83,7.07,7.17,11996,2.55
19,6,7.54,6.14,4.6,6039,2.44
19,7,6.63,6.4,3.19,2184,2.25
19,8,6.13,5.48,7.0,8610,2.74
19,9,8.38,3.61,6.66,2014,2.72
19,10,7.23,8.42,5.63,8240,1.76
19,11,7.9,3.83,7.71,3912,3.52
19,12,7.46,6.44,5.54,9636,3.48
19,13,7.5,6.79,6.0,12889,3.3
19,14,7.81,5.37,5.04,8352,2.33
19,15,7.59,2.37,4.4,11327,2.81
19,16,6.26,7.89,3.49,14652,2.24
19,17,7.81,2.92,6.27,14907,4.03
19,18,9.04,4.52,9.74,14976,2.97
19,19,4.97,2.36,6.96,14622,3.26
19,20,7.92,3.87,7.14,2200,4.32
19,21,8.06,5.02,8.13,3594,2.35
19,22,7.46,1.0,6.57,7219,4.49
19,23,7.63,6.21,10.11,14596,2.32
19,24,3.52,2.87,4.47,2647,2.99
19,25,7.17,8.49,5.44,2673,2.23
19,26,8.68,8.67,5.49,8178,2.4
19,27,4.93,3.87,8.04,4360,3.56
19,28,9.01,1.0,8.17,9640,5.0
19,29,6.07,2.88,10.47,5188,3.96
19,30,5.48,5.17,4.15,12164,2.47
20,1,7.53,4.91,3.97,13592,3.26
20,2,8.64,6.43,8.06,9442,3.39
20,3,10.0,2.78,8.93,14691,5.0
20,4,7.52,6.15,8.1,8260,3.27
20,5,7.54,5.68,1.83,4816,2.92
20,6,8.57,11.24,5.28,5994,2.36
20,7,6.94,4.6,4.21,4719,2.76
20,8,6.59,6.88,6.99,9923,2.29
20,9,7.54,5.07,7.57,9181,1.74
20,10,4.19,6.24,4.73,6951,1.0
20,11,9.32,6.62,3.09,3890,2.74
20,12,8.93,6.94,5.58,1670,4.25
20,13,7.9,6.34,4.53,6255,3.0
20,14,9.15,1.0,1.67,10695,5.0
20,15,5.28,5.11,8.15,4612,3.04
20,16,9.37,2.8,3.7,12705,3.8
20,17,7.3,5.62,9.4,9995,3.47
20,18,7.21,7.32,4.41,4516,2.92
20,19,5.52,6.87,4.74,8404,1.34
20,20,6.44,2.19,6.03,4278,4.07
20,21,10.0,7.84,5.67,5886,2.81
20,22,8.66,6.19,7.85,5334,2.76
20,23,8.98,6.45,6.32,7111,2.59
20,24,7.9,3.1,6.93,8957,3.24
20,25,6.77,7.62,7.48,1160,2.53
20,26,6.31,4.87,5.33,10732,3.01
20,27,8.47,5.71,5.29,1365,4.08
20,28,6.51,6.46,6.67,3378,2.52
20,29,7.89,6.79,7.2,2474,3.34
20,30,6.85,3.99,8.43,13795,2.95
21,1,5.2,6.38,8.67,7047,2.18
21,2,7.05,2.78,2.5,13626,2.92
21,3,7.22,5.05,5.3,1572,3.85
21,4,4.97,3.89,7.41,6741,2.6
21,5,9.08,1.99,4.98,6780,5.0
21,6,7.94,6.77,4.82,13170,2.91
